time	V(vo)	I(Ro)
0.000000000000000e+00	2.425226e+01	4.330761e-01
1.251000000014602e-07	2.425686e+01	4.331582e-01
3.651000000017696e-07	2.426550e+01	4.333124e-01
8.451000000023884e-07	2.428185e+01	4.336044e-01
1.012000000015501e-06	2.428725e+01	4.337009e-01
1.018000000012342e-06	2.428744e+01	4.337043e-01
1.073999999982866e-06	2.428919e+01	4.337355e-01
1.250000000016863e-06	2.429457e+01	4.338316e-01
1.251000000016336e-06	2.429460e+01	4.338321e-01
1.251100000015937e-06	2.429460e+01	4.338322e-01
1.251300000015138e-06	2.429461e+01	4.338323e-01
1.251600000015674e-06	2.429462e+01	4.338324e-01
1.252000000015810e-06	2.429463e+01	4.338326e-01
1.252040000015650e-06	2.429463e+01	4.338327e-01
1.252120000015330e-06	2.429463e+01	4.338327e-01
1.252280000014691e-06	2.429464e+01	4.338328e-01
1.252600000015147e-06	2.429465e+01	4.338330e-01
1.253240000016059e-06	2.429467e+01	4.338333e-01
1.254433197810101e-06	2.429470e+01	4.338340e-01
1.256819593396449e-06	2.429477e+01	4.338352e-01
1.260510277422203e-06	2.429488e+01	4.338372e-01
1.264061820617154e-06	2.429499e+01	4.338391e-01
1.267958533210378e-06	2.429511e+01	4.338412e-01
1.271714913068586e-06	2.429522e+01	4.338432e-01
1.274558065388065e-06	2.429530e+01	4.338447e-01
1.276338890380743e-06	2.429536e+01	4.338457e-01
1.278046122144688e-06	2.429541e+01	4.338466e-01
1.278953722627305e-06	2.429543e+01	4.338471e-01
1.280049358516611e-06	2.429547e+01	4.338477e-01
1.281775404027991e-06	2.429552e+01	4.338486e-01
1.283589566219989e-06	2.429557e+01	4.338495e-01
1.285582847976655e-06	2.429564e+01	4.338506e-01
1.286810667959493e-06	2.429567e+01	4.338513e-01
1.288293302686289e-06	2.429572e+01	4.338521e-01
1.289726770242750e-06	2.429576e+01	4.338529e-01
1.291150640037389e-06	2.429580e+01	4.338536e-01
1.293622983738682e-06	2.429588e+01	4.338550e-01
1.297749009334520e-06	2.429601e+01	4.338573e-01
1.301982205246383e-06	2.429615e+01	4.338598e-01
1.310448597071842e-06	2.429642e+01	4.338647e-01
1.318326129205391e-06	2.429668e+01	4.338693e-01
1.321821560540393e-06	2.429676e+01	4.338707e-01
1.324387306140748e-06	2.429670e+01	4.338696e-01
1.326517817749895e-06	2.429642e+01	4.338647e-01
1.329204435877515e-06	2.429562e+01	4.338503e-01
1.332187481011340e-06	2.429422e+01	4.338254e-01
1.333098869592264e-06	2.429370e+01	4.338162e-01
1.333436319443312e-06	2.429355e+01	4.338134e-01
1.333505765590062e-06	2.429354e+01	4.338131e-01
1.333549976305012e-06	2.429353e+01	4.338131e-01
1.333606624921366e-06	2.429353e+01	4.338130e-01
1.333671776723722e-06	2.429352e+01	4.338129e-01
1.333745641710765e-06	2.429352e+01	4.338129e-01
1.333863815221673e-06	2.429351e+01	4.338128e-01
1.333988229461000e-06	2.429351e+01	4.338127e-01
1.334237057939655e-06	2.429350e+01	4.338125e-01
1.334469186601434e-06	2.429349e+01	4.338123e-01
1.334933443924990e-06	2.429347e+01	4.338119e-01
1.335506959255703e-06	2.429344e+01	4.338114e-01
1.336653989915393e-06	2.429339e+01	4.338105e-01
1.338475895491451e-06	2.429330e+01	4.338090e-01
1.342016161162349e-06	2.429314e+01	4.338061e-01
1.347766998482589e-06	2.429288e+01	4.338015e-01
1.355320442817873e-06	2.429254e+01	4.337954e-01
1.362123974613105e-06	2.429224e+01	4.337900e-01
1.368462798582298e-06	2.429196e+01	4.337849e-01
1.375779223855220e-06	2.429163e+01	4.337791e-01
1.382429570949417e-06	2.429134e+01	4.337739e-01
1.389577070295273e-06	2.429102e+01	4.337682e-01
1.396647939461496e-06	2.429071e+01	4.337627e-01
1.404866161099430e-06	2.429035e+01	4.337563e-01
1.412992346083025e-06	2.429000e+01	4.337500e-01
1.420978862189462e-06	2.428965e+01	4.337437e-01
1.426723643031466e-06	2.428940e+01	4.337392e-01
1.429700641724166e-06	2.428927e+01	4.337369e-01
1.431457497787572e-06	2.428919e+01	4.337356e-01
1.433836437150782e-06	2.428909e+01	4.337337e-01
1.435378297793416e-06	2.428902e+01	4.337325e-01
1.437529808957089e-06	2.428893e+01	4.337308e-01
1.440234800505549e-06	2.428881e+01	4.337288e-01
1.443019154849859e-06	2.428869e+01	4.337266e-01
1.447208890460391e-06	2.428851e+01	4.337234e-01
1.452895486852082e-06	2.428826e+01	4.337189e-01
1.460521388945910e-06	2.428793e+01	4.337130e-01
1.470996789085244e-06	2.428748e+01	4.337049e-01
1.475733843075630e-06	2.428727e+01	4.337012e-01
1.478911528610474e-06	2.428713e+01	4.336988e-01
1.481683358665886e-06	2.428701e+01	4.336967e-01
1.484563208486306e-06	2.428689e+01	4.336944e-01
1.487652969109007e-06	2.428675e+01	4.336920e-01
1.490592622211545e-06	2.428663e+01	4.336897e-01
1.493991107876305e-06	2.428648e+01	4.336871e-01
1.497569254806097e-06	2.428632e+01	4.336843e-01
1.501883198000084e-06	2.428614e+01	4.336810e-01
1.506396483903077e-06	2.428594e+01	4.336775e-01
1.513309474034802e-06	2.428564e+01	4.336722e-01
1.519377636552410e-06	2.428538e+01	4.336675e-01
1.526250953298031e-06	2.428508e+01	4.336621e-01
1.533049410791174e-06	2.428478e+01	4.336569e-01
1.540584017542188e-06	2.428446e+01	4.336510e-01
1.549983484174303e-06	2.428405e+01	4.336438e-01
1.561023901112610e-06	2.428357e+01	4.336352e-01
1.575420684327838e-06	2.428295e+01	4.336241e-01
1.591257360775492e-06	2.428226e+01	4.336118e-01
1.601149562088788e-06	2.428183e+01	4.336042e-01
1.607774981782564e-06	2.428154e+01	4.335990e-01
1.614296722629582e-06	2.428126e+01	4.335940e-01
1.620245593410979e-06	2.428100e+01	4.335894e-01
